sim_id	k_cap_bind	k_start_uorf2	k_elong_stall	k_terminated_ssu_recycle_uorf2	l_scan_capture	uorf2_start	uorf2_stop	uorf3_start	uorf3_stop	orf_start	orf_stop	l_mrna	x_stall	k_scan_term_3_hit_80s	k_scan_term_3_hit_40s	k_scan_term_both_hit_40s_80s	k_scan_term_both_hit_40s_40s	k_scan_term_both_hit_80s_40s	k_scan_term_both_hit_80s_80s
68	0.015625	0.5	5.0	0.5555555555555555	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
69	0.015625	0.5	5.0	0.5555555555555555	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
70	0.015625	0.5	5.0	0.5555555555555555	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
71	0.015625	0.5	5.0	0.5555555555555555	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
72	0.015625	5.0	0.001	45.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
73	0.015625	5.0	0.001	45.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
74	0.015625	5.0	0.001	45.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
75	0.015625	5.0	0.001	45.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
76	0.015625	5.0	0.001	5.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
77	0.015625	5.0	0.001	5.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
78	0.015625	5.0	0.001	5.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
79	0.015625	5.0	0.001	5.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
80	0.015625	5.0	0.001	0.5555555555555555	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
81	0.015625	5.0	0.001	0.5555555555555555	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
82	0.015625	5.0	0.001	0.5555555555555555	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
83	0.015625	5.0	0.001	0.5555555555555555	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
84	0.015625	5.0	5.0	45.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
85	0.015625	5.0	5.0	45.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
86	0.015625	5.0	5.0	45.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
87	0.015625	5.0	5.0	45.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
88	0.015625	5.0	5.0	5.0	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
89	0.015625	5.0	5.0	5.0	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
90	0.015625	5.0	5.0	5.0	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
91	0.015625	5.0	5.0	5.0	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
92	0.015625	5.0	5.0	0.5555555555555555	0	25	91	97	106	232	277	280	88	0	0	0	0	0	0
93	0.015625	5.0	5.0	0.5555555555555555	0	25	91	97	106	232	277	280	88	2	2	2	2	2	2
94	0.015625	5.0	5.0	0.5555555555555555	3	25	91	97	106	232	277	280	88	0	0	0	0	0	0
95	0.015625	5.0	5.0	0.5555555555555555	3	25	91	97	106	232	277	280	88	2	2	2	2	2	2
96	0.03125	0.5	0.001	45.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
97	0.03125	0.5	0.001	45.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
98	0.03125	0.5	0.001	45.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
99	0.03125	0.5	0.001	45.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
100	0.03125	0.5	0.001	5.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
101	0.03125	0.5	0.001	5.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
102	0.03125	0.5	0.001	5.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
103	0.03125	0.5	0.001	5.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
104	0.03125	0.5	0.001	0.5555555555555555	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
105	0.03125	0.5	0.001	0.5555555555555555	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
106	0.03125	0.5	0.001	0.5555555555555555	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
107	0.03125	0.5	0.001	0.5555555555555555	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
108	0.03125	0.5	5.0	45.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
109	0.03125	0.5	5.0	45.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
110	0.03125	0.5	5.0	45.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
111	0.03125	0.5	5.0	45.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
112	0.03125	0.5	5.0	5.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
113	0.03125	0.5	5.0	5.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
114	0.03125	0.5	5.0	5.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
115	0.03125	0.5	5.0	5.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
116	0.03125	0.5	5.0	0.5555555555555555	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
117	0.03125	0.5	5.0	0.5555555555555555	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
118	0.03125	0.5	5.0	0.5555555555555555	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
119	0.03125	0.5	5.0	0.5555555555555555	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
120	0.03125	5.0	0.001	45.0	0	25	88	94	103	229	274	277	85	0	0	0	0	0	0
121	0.03125	5.0	0.001	45.0	0	25	88	94	103	229	274	277	85	2	2	2	2	2	2
122	0.03125	5.0	0.001	45.0	3	25	88	94	103	229	274	277	85	0	0	0	0	0	0
123	0.03125	5.0	0.001	45.0	3	25	88	94	103	229	274	277	85	2	2	2	2	2	2
