sim_id	k_cap_bind	k_start_uorf2	k_scan	k_elong	k_elong_stall	k_terminated_ssu_recycle_uorf2	uorf2_start	uorf2_stop	uorf3_start	uorf3_stop	orf_start	orf_stop	l_mrna	x_stall	k_scan_term_5_hit_80s	k_scan_term_both_hit_80s_40s	k_scan_term_both_hit_80s_80s
69	0.015625	0.1	2	2	2.0	2	25	91	97	106	232	277	280	88	200	200	200
70	0.015625	0.1	2	2	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
71	0.015625	0.1	2	2	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
72	0.015625	0.1	2	5	0.001	2	25	91	97	106	232	277	280	88	2	2	2
73	0.015625	0.1	2	5	0.001	2	25	91	97	106	232	277	280	88	200	200	200
74	0.015625	0.1	2	5	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
75	0.015625	0.1	2	5	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
76	0.015625	0.1	2	5	2.0	2	25	91	97	106	232	277	280	88	2	2	2
77	0.015625	0.1	2	5	2.0	2	25	91	97	106	232	277	280	88	200	200	200
78	0.015625	0.1	2	5	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
79	0.015625	0.1	2	5	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
80	0.015625	0.1	5	2	0.001	2	25	91	97	106	232	277	280	88	2	2	2
81	0.015625	0.1	5	2	0.001	2	25	91	97	106	232	277	280	88	200	200	200
82	0.015625	0.1	5	2	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
83	0.015625	0.1	5	2	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
84	0.015625	0.1	5	2	2.0	2	25	91	97	106	232	277	280	88	2	2	2
85	0.015625	0.1	5	2	2.0	2	25	91	97	106	232	277	280	88	200	200	200
86	0.015625	0.1	5	2	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
87	0.015625	0.1	5	2	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
88	0.015625	0.1	5	5	0.001	2	25	91	97	106	232	277	280	88	2	2	2
89	0.015625	0.1	5	5	0.001	2	25	91	97	106	232	277	280	88	200	200	200
90	0.015625	0.1	5	5	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
91	0.015625	0.1	5	5	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
92	0.015625	0.1	5	5	2.0	2	25	91	97	106	232	277	280	88	2	2	2
93	0.015625	0.1	5	5	2.0	2	25	91	97	106	232	277	280	88	200	200	200
94	0.015625	0.1	5	5	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
95	0.015625	0.1	5	5	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
96	0.015625	20.0	2	2	0.001	2	25	91	97	106	232	277	280	88	2	2	2
97	0.015625	20.0	2	2	0.001	2	25	91	97	106	232	277	280	88	200	200	200
98	0.015625	20.0	2	2	0.001	2495	25	91	97	106	232	277	280	88	2	2	2
99	0.015625	20.0	2	2	0.001	2495	25	91	97	106	232	277	280	88	200	200	200
100	0.015625	20.0	2	2	2.0	2	25	91	97	106	232	277	280	88	2	2	2
101	0.015625	20.0	2	2	2.0	2	25	91	97	106	232	277	280	88	200	200	200
102	0.015625	20.0	2	2	2.0	2495	25	91	97	106	232	277	280	88	2	2	2
103	0.015625	20.0	2	2	2.0	2495	25	91	97	106	232	277	280	88	200	200	200
