well	assay	counts
A2	fluc	7678
A3	fluc	7526
A4	fluc	4829
A5	fluc	5826
B2	fluc	14
B3	fluc	3026
B4	fluc	2496
B5	fluc	5464
B6	fluc	2790
B7	fluc	3412
B8	fluc	3010
B9	fluc	2104
B10	fluc	5652
B11	fluc	558
C2	fluc	1126
C3	fluc	7065
C4	fluc	2588
C5	fluc	2218
C6	fluc	5199
C7	fluc	3436
C8	fluc	4855
C9	fluc	2336
C10	fluc	3064
C11	fluc	22
D2	fluc	12
D3	fluc	2762
D4	fluc	2782
D5	fluc	3999
D6	fluc	5033
D7	fluc	4711
D8	fluc	3706
D9	fluc	2398
D10	fluc	5502
D11	fluc	544
E2	fluc	2882
E3	fluc	3923
E4	fluc	2700
E5	fluc	2310
E6	fluc	5227
E7	fluc	46
E8	fluc	1802
E9	fluc	4485
E10	fluc	2282
E11	fluc	4389
F2	fluc	6230
F3	fluc	2312
F4	fluc	5223
F5	fluc	1988
F6	fluc	38
F7	fluc	5418
F8	fluc	2182
F9	fluc	3224
F10	fluc	3338
F11	fluc	2528
G2	fluc	2738
G3	fluc	4875
G4	fluc	3777
G5	fluc	2604
G6	fluc	5650
G7	fluc	40
G8	fluc	2222
G9	fluc	4883
G10	fluc	1926
G11	fluc	4007
H2	fluc	5694
H3	fluc	6238
H4	fluc	3188
H5	fluc	4567
H6	fluc	4731
H7	fluc	3847
H8	fluc	6202
H9	fluc	5482
A2	nluc	1405126
A3	nluc	739287
A4	nluc	637352
A5	nluc	6191176
B2	nluc	6771
B3	nluc	1305624
B4	nluc	36440
B5	nluc	1157017
B6	nluc	986400
B7	nluc	1787057
B8	nluc	452906
B9	nluc	548525
B10	nluc	2952643
B11	nluc	482183
C2	nluc	521940
C3	nluc	5291092
C4	nluc	585040
C5	nluc	429739
C6	nluc	2414767
C7	nluc	1206575
C8	nluc	1044982
C9	nluc	36271
C10	nluc	1349768
C11	nluc	6094
D2	nluc	9083
D3	nluc	1475031
D4	nluc	43854
D5	nluc	984697
D6	nluc	1482873
D7	nluc	2425536
D8	nluc	553376
D9	nluc	544923
D10	nluc	3352259
D11	nluc	399010
E2	nluc	2179120
E3	nluc	3258383
E4	nluc	1450549
E5	nluc	1566467
E6	nluc	3078540
E7	nluc	13104
E8	nluc	843038
E9	nluc	1847096
E10	nluc	368958
E11	nluc	597738
F2	nluc	928284
F3	nluc	297322
F4	nluc	1816042
F5	nluc	845009
F6	nluc	14819
F7	nluc	2974889
F8	nluc	1711192
F9	nluc	1934346
F10	nluc	3185055
F11	nluc	2660826
G2	nluc	2460738
G3	nluc	3313477
G4	nluc	1733387
G5	nluc	1504707
G6	nluc	3069350
G7	nluc	13350
G8	nluc	822170
G9	nluc	1828394
G10	nluc	292155
G11	nluc	856397
H2	nluc	1341811
H3	nluc	746094
H4	nluc	547727
H5	nluc	5596869
H6	nluc	5930784
H7	nluc	611180
H8	nluc	735497
H9	nluc	1316880
