reporter,label,label_order,ratio,mean_ratio,se_ratio
pASHS64,gp48UTR,4,5.034032099366726,4.992139641715514,0.17313088433279522
pTBHS1,gp48UTR-no-stall,5,9.43220888802812,9.451392994594963,0.20807131295604256
pTBHS2,gp48UTR-no-AUG,6,9.084331190074625,9.48712996143829,0.20390923717776233
pTBHS3,gp48UTR-stronger-start,7,2.9444836711487508,3.5544574091199816,0.3150957596988952
pTBHS3,gp48UTR-stronger-start,7,3.996575757276956,3.5544574091199816,0.3150957596988952
pTBHS2,gp48UTR-no-AUG,6,9.743772386140364,9.48712996143829,0.20390923717776233
pTBHS1,gp48UTR-no-stall,5,9.820991980266053,9.451392994594963,0.20807131295604256
pASHS64,gp48UTR,4,5.2688621479353,4.992139641715514,0.17313088433279522
pASHS64,gp48UTR,4,4.673524677844518,4.992139641715514,0.17313088433279522
pTBHS1,gp48UTR-no-stall,5,9.100978115490719,9.451392994594963,0.20807131295604256
pTBHS2,gp48UTR-no-AUG,6,9.633286308099883,9.48712996143829,0.20390923717776233
pTBHS3,gp48UTR-stronger-start,7,3.7223127989342384,3.5544574091199816,0.3150957596988952
